date,PM2.5 (µg/m³),PM10 (µg/m³),NO (µg/m³),NO2 (µg/m³),NOx (ppb),NH3 (µg/m³),SO2 (µg/m³),CO (mg/m³),Ozone (µg/m³),Benzene (µg/m³),Toluene (µg/m³),Xylene (µg/m³),O Xylene (µg/m³),Eth-Benzene (µg/m³),MP-Xylene (µg/m³),AT (°C),RH (%),WS (m/s),WD (deg),RF (mm),TOT-RF (mm),SR (W/mt2),BP (mmHg),VWS (m/s)
2020-08-21,21.82,66.50038723976297,4.13,15.32,19.45,12.517657101414038,6.97,0.76,5.58,0.5751839642693959,1.3202652602875211,,,1.236758888508912,0.610732243847403,,89.96,0.64,245.98,,,118.44,997.62,0.12
2020-08-22,31.86126885493773,66.50038723976297,9.353286637509786,20.46737961921801,29.920258247604124,12.517657101414038,7.121397964461455,0.9356027728260664,25.824717936593693,0.5751839642693959,1.3202652602875211,,,1.236758888508912,0.610732243847403,,72.07346080363907,0.7521627013410804,202.04433243041956,,,142.13311705329195,875.1160772622944,-0.0879960604151816
2020-08-23,22.37,66.50038723976297,3.38,16.02,18.85,12.517657101414038,7.06,0.73,4.94,0.5751839642693959,1.3202652602875211,,,1.236758888508912,0.610732243847403,,88.99,0.48,251.74,,,34.66,970.56,0.1
2020-08-24,22.05,66.50038723976297,4.63,19.58,24.0,12.517657101414038,7.0,0.81,5.61,0.5751839642693959,1.3202652602875211,,,1.236758888508912,0.610732243847403,,83.2,0.59,258.53,,,98.28,980.2,0.04
2020-08-25,21.9,66.50038723976297,5.59,19.7,25.29,12.517657101414038,7.01,0.83,4.48,0.5751839642693959,1.3202652602875211,,,1.236758888508912,0.610732243847403,,70.48,0.62,246.0,,,126.74,979.11,0.04
2020-08-26,21.84,66.50038723976297,9.353286637509786,20.46737961921801,29.920258247604124,12.517657101414038,7.01,0.79,3.65,0.5751839642693959,1.3202652602875211,,,1.236758888508912,0.610732243847403,,72.23,0.6,256.69,,,121.69,985.28,0.05
2020-08-27,22.07,66.50038723976297,9.353286637509786,20.46737961921801,29.920258247604124,12.517657101414038,6.98,0.83,3.78,0.5751839642693959,1.3202652602875211,,,1.236758888508912,0.610732243847403,,71.49,0.68,261.12,,,95.09,982.87,0.05
2020-08-28,22.02,66.50038723976297,9.353286637509786,20.46737961921801,29.920258247604124,12.517657101414038,7.0,0.78,5.14,0.5751839642693959,1.3202652602875211,,,1.236758888508912,0.610732243847403,,66.79,0.67,258.1,,,127.28,987.44,0.03
2020-08-29,21.81,66.50038723976297,9.353286637509786,20.46737961921801,29.920258247604124,12.517657101414038,7.0,0.79,7.41,0.5751839642693959,1.3202652602875211,,,1.236758888508912,0.610732243847403,,66.96,0.67,249.4,,,130.37,983.59,0.03
2020-08-30,21.96,66.50038723976297,9.353286637509786,20.46737961921801,29.920258247604124,12.517657101414038,6.98,0.8,5.52,0.5751839642693959,1.3202652602875211,,,1.236758888508912,0.610732243847403,,70.54,0.63,258.83,,,123.57,998.26,0.04
2020-08-31,22.06,66.50038723976297,9.353286637509786,20.46737961921801,29.920258247604124,12.517657101414038,7.01,1.64,7.62,0.5751839642693959,1.3202652602875211,,,1.236758888508912,0.610732243847403,,73.15,0.54,219.89,,,133.98,960.13,0.06
2020-09-01,21.9,66.50038723976297,9.353286637509786,20.46737961921801,29.920258247604124,12.517657101414038,7.0,1.28,5.2,0.5751839642693959,1.3202652602875211,,,1.236758888508912,0.610732243847403,,84.45,0.45,237.41,,,111.9,961.93,0.09
2020-09-02,22.0,66.50038723976297,9.353286637509786,20.46737961921801,29.920258247604124,12.517657101414038,7.01,0.76,3.33,0.5751839642693959,1.3202652602875211,,,1.236758888508912,0.610732243847403,,90.72,0.5,225.1,,,82.81,946.81,0.1
2020-09-03,22.16,66.50038723976297,9.353286637509786,20.46737961921801,29.920258247604124,12.517657101414038,7.01,0.71,4.63,0.5751839642693959,1.3202652602875211,,,1.236758888508912,0.610732243847403,,84.61,0.49,177.61,,,117.47,974.94,0.08
2020-09-04,22.08,66.50038723976297,9.353286637509786,20.46737961921801,29.920258247604124,12.517657101414038,6.99,0.77,5.04,0.5751839642693959,1.3202652602875211,,,1.236758888508912,0.610732243847403,,81.43,0.6,172.31,,,114.19,934.51,0.1
2020-09-05,21.96,66.50038723976297,9.353286637509786,20.46737961921801,29.920258247604124,12.517657101414038,6.98,0.74,5.95,0.5751839642693959,1.3202652602875211,,,1.236758888508912,0.610732243847403,,87.25,0.6,167.69,,,76.62,907.81,0.11
2020-09-06,21.86,66.50038723976297,10.61,18.79,29.22,12.517657101414038,7.0,0.75,9.23,0.5751839642693959,1.3202652602875211,,,1.236758888508912,0.610732243847403,,81.52,0.61,176.97,,,111.12,904.69,0.05
2020-09-07,22.01,66.50038723976297,9.49,16.35,25.54,12.517657101414038,7.0,0.71,6.71,0.5751839642693959,1.3202652602875211,,,1.236758888508912,0.610732243847403,,83.02,0.62,240.65,,,147.84,966.29,0.07
2020-09-08,22.0,66.50038723976297,8.29,12.08,19.88,12.517657101414038,7.0,0.92,5.94,0.5751839642693959,1.3202652602875211,,,1.236758888508912,0.610732243847403,,82.29,0.61,229.06,,,153.17,972.68,0.04
2020-09-09,22.08,66.50038723976297,8.28,12.86,21.14,12.517657101414038,6.98,0.7,10.59,0.5751839642693959,1.3202652602875211,,,1.236758888508912,0.610732243847403,,85.27,0.59,238.49,,,126.24,945.97,0.07
2020-09-10,21.97,66.50038723976297,8.21,12.65,20.85,12.517657101414038,7.02,0.78,7.27,0.5751839642693959,1.3202652602875211,,,1.236758888508912,0.610732243847403,,86.46,0.73,252.67,,,110.31,932.09,0.06
2020-09-11,22.16,66.50038723976297,8.24,12.57,20.81,12.517657101414038,7.0,0.59,5.56,0.5751839642693959,1.3202652602875211,,,1.236758888508912,0.610732243847403,,89.27,0.8,249.86,,,95.0,929.35,0.09
2020-09-12,22.11,66.50038723976297,8.32,13.02,21.34,12.517657101414038,7.0,0.67,5.24,0.5751839642693959,1.3202652602875211,,,1.236758888508912,0.610732243847403,,92.44,0.71,256.78,,,76.65,925.84,0.04
2020-09-13,21.99,66.50038723976297,8.53,12.69,20.72,12.517657101414038,6.99,0.67,4.68,0.5751839642693959,1.3202652602875211,,,1.236758888508912,0.610732243847403,,91.84,0.77,266.58,,,82.96,940.68,0.05
2020-09-14,22.04,66.50038723976297,8.61,12.43,20.3,12.517657101414038,7.0,0.75,6.29,0.5751839642693959,1.3202652602875211,,,1.236758888508912,0.610732243847403,,86.74,0.77,270.75,,,90.91,935.6,0.06
2020-09-15,21.96,66.50038723976297,8.26,12.87,21.13,12.517657101414038,6.99,0.74,5.43,0.5751839642693959,1.3202652602875211,,,1.236758888508912,0.610732243847403,,85.56,0.72,261.01,,,109.49,930.95,0.08
2020-09-16,31.86126885493773,66.50038723976297,9.353286637509786,20.46737961921801,29.920258247604124,12.517657101414038,7.121397964461455,0.9356027728260664,25.824717936593693,0.5751839642693959,1.3202652602875211,,,1.236758888508912,0.610732243847403,,72.07346080363907,0.7521627013410804,202.04433243041956,,,142.13311705329195,875.1160772622944,-0.0879960604151816
2020-09-17,31.86126885493773,66.50038723976297,9.353286637509786,20.46737961921801,29.920258247604124,12.517657101414038,7.121397964461455,0.9356027728260664,25.824717936593693,0.5751839642693959,1.3202652602875211,,,1.236758888508912,0.610732243847403,,72.07346080363907,0.7521627013410804,202.04433243041956,,,142.13311705329195,875.1160772622944,-0.0879960604151816
2020-09-18,21.91,66.50038723976297,8.35,13.12,21.45,12.517657101414038,7.01,0.74,6.18,0.5751839642693959,1.3202652602875211,,,1.236758888508912,0.610732243847403,,76.74,0.84,267.94,,,135.11,991.4,0.02
2020-09-19,21.95,66.50038723976297,9.61,12.43,19.41,12.517657101414038,6.98,0.94,4.89,0.5751839642693959,1.3202652602875211,,,1.236758888508912,0.610732243847403,,90.66,0.74,255.94,,,80.17,967.4,0.06
2020-09-20,21.97,66.50038723976297,8.36,13.23,21.59,12.517657101414038,7.03,0.71,5.75,0.5751839642693959,1.3202652602875211,,,1.236758888508912,0.610732243847403,,93.34,0.78,263.66,,,72.42,953.12,0.04
2020-09-21,21.82,66.50038723976297,9.24,12.01,19.49,12.517657101414038,6.98,0.74,6.11,0.5751839642693959,1.3202652602875211,,,1.236758888508912,0.610732243847403,,89.55,0.91,262.08,,,105.47,952.83,0.02
2020-09-22,22.09,66.50038723976297,7.4,10.33,17.73,12.517657101414038,7.01,0.67,7.59,0.5751839642693959,1.3202652602875211,,,1.236758888508912,0.610732243847403,,89.57,0.75,251.59,,,81.47,953.04,0.02
2020-09-23,22.07,66.50038723976297,7.32,10.13,17.45,12.517657101414038,7.01,0.73,6.97,0.5751839642693959,1.3202652602875211,,,1.236758888508912,0.610732243847403,,81.29,0.74,259.84,,,101.44,948.73,0.03
2020-09-24,22.09,66.50038723976297,7.32,10.11,17.41,12.517657101414038,7.02,0.74,5.94,0.5751839642693959,1.3202652602875211,,,1.236758888508912,0.610732243847403,,82.17,0.64,259.42,,,111.15,955.86,0.09
2020-09-25,21.8,66.50038723976297,7.39,10.56,17.95,12.517657101414038,7.01,0.82,6.96,0.5751839642693959,1.3202652602875211,,,1.236758888508912,0.610732243847403,,81.17,0.61,249.02,,,121.17,980.18,0.08
2020-09-26,21.75,66.50038723976297,7.96,11.23,18.49,12.517657101414038,7.01,1.08,5.22,0.5751839642693959,1.3202652602875211,,,1.236758888508912,0.610732243847403,,92.53,0.59,270.88,,,69.56,967.81,0.04
2020-09-27,21.94,66.50038723976297,8.32,10.47,17.6,12.517657101414038,6.99,0.84,5.54,0.5751839642693959,1.3202652602875211,,,1.236758888508912,0.610732243847403,,82.45,0.57,254.49,,,102.68,962.94,0.04
2020-09-28,22.0,66.50038723976297,7.23,9.9,16.97,12.517657101414038,6.98,1.01,6.17,0.5751839642693959,1.3202652602875211,,,1.236758888508912,0.610732243847403,,88.26,0.58,238.52,,,101.77,959.7,0.08
2020-09-29,21.95,66.50038723976297,7.33,10.34,17.67,12.517657101414038,7.01,0.99,6.4,0.5751839642693959,1.3202652602875211,,,1.236758888508912,0.610732243847403,,89.79,0.56,249.14,,,97.26,941.59,0.05
2020-09-30,21.96,66.50038723976297,7.82,10.05,16.77,12.517657101414038,6.98,0.96,5.17,0.0,0.0,,,1.236758888508912,0.610732243847403,,86.31,0.61,255.94,,,104.55,934.75,0.08
2020-10-01,21.88,66.50038723976297,7.46,10.77,17.98,12.517657101414038,7.02,0.86,4.73,0.5751839642693959,1.3202652602875211,,,1.236758888508912,0.610732243847403,,76.32,0.71,269.65,,,131.16,972.98,0.05
2020-10-02,22.06,66.50038723976297,7.37,10.58,17.95,12.517657101414038,7.01,0.89,6.71,0.5751839642693959,1.3202652602875211,,,1.236758888508912,0.610732243847403,,76.89,0.61,255.6,,,116.09,940.79,0.07
2020-10-03,22.03,66.50038723976297,7.28,10.33,17.58,12.517657101414038,6.99,0.8,6.16,0.5751839642693959,1.3202652602875211,,,1.236758888508912,0.610732243847403,,83.8,0.62,247.16,,,120.04,967.32,0.05
2020-10-04,22.05,66.50038723976297,7.42,10.63,18.04,12.517657101414038,6.98,0.83,5.1,0.5751839642693959,1.3202652602875211,,,1.236758888508912,0.610732243847403,,86.62,0.79,256.6,,,102.85,975.3,0.03
2020-10-05,22.0,66.50038723976297,7.31,10.4,17.71,12.517657101414038,7.03,1.02,5.77,0.5751839642693959,1.3202652602875211,,,1.236758888508912,0.610732243847403,,77.54,0.74,225.46,,,114.93,975.68,0.02
2020-10-06,21.86,66.50038723976297,7.45,10.78,18.18,12.517657101414038,6.99,1.64,4.37,0.5751839642693959,1.3202652602875211,,,1.236758888508912,0.610732243847403,,84.56,0.73,182.67,,,52.36,956.97,0.11
2020-10-07,21.94,66.50038723976297,7.28,10.08,17.25,12.517657101414038,7.0,0.94,8.73,0.5751839642693959,1.3202652602875211,,,1.236758888508912,0.610732243847403,,75.34,0.61,227.45,,,106.17,979.76,0.07
2020-10-08,21.87,66.50038723976297,7.2,9.24,15.89,12.517657101414038,6.99,1.08,6.66,0.5751839642693959,1.3202652602875211,,,1.236758888508912,0.610732243847403,,81.66,0.81,225.77,,,56.77,969.42,0.1
2020-10-09,21.99,66.50038723976297,7.52,9.62,16.35,12.517657101414038,7.0,0.95,10.94,0.5751839642693959,1.3202652602875211,,,1.236758888508912,0.610732243847403,,86.07,0.81,202.26,,,100.51,917.01,0.09
2020-10-10,22.03,66.50038723976297,7.28,9.95,16.92,12.517657101414038,7.0,0.96,10.61,0.5751839642693959,1.3202652602875211,,,1.236758888508912,0.610732243847403,,81.66,0.63,229.94,,,129.9,995.34,0.08
2020-10-11,22.11,66.50038723976297,7.34,10.4,17.74,12.517657101414038,7.0,0.89,10.88,0.5751839642693959,1.3202652602875211,,,1.236758888508912,0.610732243847403,,92.5,0.75,258.26,,,71.74,985.9,0.08
2020-10-12,22.1,66.50038723976297,7.53,10.44,17.66,12.517657101414038,7.01,0.67,10.82,0.5751839642693959,1.3202652602875211,,,1.236758888508912,0.610732243847403,,93.06,0.73,252.12,,,60.81,980.38,0.08
2020-10-13,21.94,66.50038723976297,7.36,10.4,17.76,12.517657101414038,7.0,0.73,12.7,0.5751839642693959,1.3202652602875211,,,1.236758888508912,0.610732243847403,,92.75,0.81,251.24,,,61.7,981.84,0.03
2020-10-14,22.1,66.50038723976297,7.37,10.37,17.74,12.517657101414038,6.98,0.76,12.81,0.5751839642693959,1.3202652602875211,,,1.236758888508912,0.610732243847403,,89.38,0.91,251.77,,,87.47,975.52,0.01
2020-10-15,22.03,66.50038723976297,7.26,9.79,17.04,12.517657101414038,6.98,0.69,9.59,0.5751839642693959,1.3202652602875211,,,1.236758888508912,0.610732243847403,,83.11,0.71,252.01,,,102.37,980.45,0.04
2020-10-16,21.88,66.50038723976297,7.16,9.09,16.23,12.517657101414038,7.01,1.01,12.37,0.5751839642693959,1.3202652602875211,,,1.236758888508912,0.610732243847403,,75.9,0.68,260.4,,,113.66,992.04,0.07
